TRIP
DATE 2025-03-23
DECLINATION -0.24112926
DATA
16		179.35	-12.42	1.864	>
16		179.52	-12.46	1.865	>
16	17	179.60	-12.45	1.867	>
17		327.55	-71.13	0.404	>
17		286.32	-0.80	0.585	>
17		246.96	72.75	0.355	>
17		233.86	-9.87	6.571	>
17		233.53	-9.88	6.576	>
17		233.33	-9.88	6.570	>
17	18	233.57	-9.87	6.572	>
18		122.83	-77.95	1.204	>
18		201.94	-2.98	1.049	>
18		145.81	56.28	0.280	>
18		337.86	-1.14	1.712	>
18		251.43	-35.69	1.343	>
18		251.28	-35.83	1.336	>
18		251.70	-35.74	1.339	>
18	19	251.47	-35.76	1.339	>
19		3.79	-0.21	1.014	>
19		347.35	60.74	1.175	>
19		139.31	-88.63	11.673	>
19		140.17	-88.65	11.639	>
19		137.11	-88.64	10.834	>
19		296.67	-37.88	3.930	>
19		296.20	-37.94	3.953	>
19		296.41	-37.92	3.954	>
19	20	139.05	-88.66	10.835	>
20		35.11	-34.57	2.633	>
20		35.07	-34.40	2.641	>
20		35.29	-34.44	2.621	>
20	21	296.43	-37.91	3.946	>
21		119.79	-67.45	1.095	>
21		136.16	15.28	1.686	>
21		137.13	48.96	1.345	>
21		192.29	-38.38	6.732	>
21		192.64	-38.29	6.733	>
21		192.68	-38.27	6.731	>
21		310.75	-27.66	2.322	>
21		6.85	-7.33	1.232	>
21		276.39	-8.39	0.535	>
21		322.36	-70.93	1.026	>
21		309.79	-27.59	2.260	>
21		303.95	-27.27	2.273	>
21		303.81	-27.34	2.271	>
21		303.95	-27.45	2.272	>
21	22	192.54	-38.31	6.732	>
22		86.22	3.80	0.477	>
22		19.72	82.20	1.998	>
22		58.58	-70.61	1.631	>
22		161.18	-69.31	8.939	>
22		161.78	-69.11	8.598	>
22		161.45	-69.41	8.908	>
22		161.39	-69.60	8.937	>
22		161.27	-69.60	8.944	>
22	23	161.55	-69.65	9.082	>
23	24	303.90	-27.35	2.272	>
24		261.02	61.15	0.570	>
24		180.65	6.38	0.801	>
